"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7693Z7KR","webpage","","","Dark Net Marketplace Data (Agora 2014-2015)","","","","","https://www.kaggle.com/datasets/philipjames11/dark-net-marketplace-drug-data-agora-20142015","Includes over 100,000 unique listings of drugs, weapons and more","","2026-04-10 09:20:52","2026-04-10 09:20:52","2025-12-15 12:27:44","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DZZEI22","journalArticle","2019","Al-Nabki, Mhd Wesam; Fidalgo, Eduardo; Alegre, Enrique; Fernández-Robles, Laura","ToRank: Identifying the most influential suspicious domains in the Tor network","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2019.01.029","https://www.sciencedirect.com/science/article/pii/S0957417419300296","The Tor network hosts a significant amount of hidden services related to suspicious activities. Law Enforcement Agencies need to monitor and to investigate crimes hidden behind the anonymity provided by Tor. In this paper, we propose a new algorithm, named ToRank, that ranks hidden services in Tor better than the known algorithms used for the Surface Web. We also thoroughly analyze the content present in Tor, creating a dataset, DUTA-10K, that extends the previous Darknet Usage Text Address (DUTA) dataset. We quantitatively compared ToRank with some of the most popular ranking algorithms, like PageRank, HITS, and Katz. Results showed that our proposal obtains a higher harm to the Tor network robustness than all of them, what indicates its superiority for this problem. The analysis of DUTA-10K reveals that only 20% of the hidden services that can be accessed are related to suspicious activities, and 48% are associated with normal ones. We also discovered that domains related to suspicious activities usually present multiple clones under different addresses, what could be used as an additional feature for identifying them. We consider that our new algorithm, the extended dataset, and the findings obtained from the analysis carried out are helpful for LEAs to fight against crimes that take place in the Tor hidden services.","2019-06-01","2026-04-10 09:20:52","2026-04-10 09:20:52","2025-12-15 12:24:15","212-226","","","123","","Expert Systems with Applications","ToRank","","","","","","","","","","","","ScienceDirect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBF8N37Y","journalArticle","2007","Damaso, John; Cotter, Colleen","UrbanDictionary.com","English Today","","0266-0784, 1474-0567","10.1017/S0266078407002040","https://www.cambridge.org/core/product/identifier/S0266078407002040/type/journal_article","ABSTRACT             In traditional English lexicography, individual dictionary editors have had ultimate control over the selection, meaning, and illustration of words and extensive collaboration with contributors has been limited. However, Internet technologies that easily permit exchanges between a user and a database have allowed a new type of dictionary online: one that is built by the collaboration of contributing end-users, allowing users who are not trained lexicographers to engage in the actual making of dictionaries. We discuss here a popular online slang dictionary, UrbanDictionary.com (UD), to illustrate how traditional lexicographic principles are joined with Web-only communication technologies to provide a context for collaborative engagement and meaning-making, and to note the many characteristics and functions shared with traditional print dictionaries. Significantly, UD captures what most traditional English dictionaries fall short of: both recording ephemeral everyday spoken language and representing popular views of meaning. By relying on the users of language to select and define words for a dictionary, UD – which defines more than one million words – has in effect influenced both access to and formulation of the lexis.","2007-04","2026-04-10 09:20:52","2026-04-10 09:20:52","2025-12-15 12:09:00","19-26","","2","23","","English Today","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ARX5GUW","preprint","2022","Jin, Youngjin; Jang, Eugene; Lee, Yongjae; Shin, Seungwon; Chung, Jin-Woo","Shedding New Light on the Language of the Dark Web","","","","10.48550/arXiv.2204.06885","http://arxiv.org/abs/2204.06885","The hidden nature and the limited accessibility of the Dark Web, combined with the lack of public datasets in this domain, make it difficult to study its inherent characteristics such as linguistic properties. Previous works on text classification of Dark Web domain have suggested that the use of deep neural models may be ineffective, potentially due to the linguistic differences between the Dark and Surface Webs. However, not much work has been done to uncover the linguistic characteristics of the Dark Web. This paper introduces CoDA, a publicly available Dark Web dataset consisting of 10000 web documents tailored towards text-based Dark Web analysis. By leveraging CoDA, we conduct a thorough linguistic analysis of the Dark Web and examine the textual differences between the Dark Web and the Surface Web. We also assess the performance of various methods of Dark Web page classification. Finally, we compare CoDA with an existing public Dark Web dataset and evaluate their suitability for various use cases.","2022-05-04","2026-04-10 09:20:52","2026-04-10 09:21:22","2025-11-24 16:10:26","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2204.06885 [cs]","","","","incl","","","","","","","","","","","","","","","","","","","","arXiv:2204.06885","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NPATLZG","conferencePaper","2017","Durrett, Greg; Kummerfeld, Jonathan K.; Berg-Kirkpatrick, Taylor; Portnoff, Rebecca; Afroz, Sadia; McCoy, Damon; Levchenko, Kirill; Paxson, Vern","Identifying Products in Online Cybercrime Marketplaces: A Dataset for Fine-grained Domain Adaptation","Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing","","","10.18653/v1/D17-1275","https://aclanthology.org/D17-1275/","One weakness of machine-learned NLP models is that they typically perform poorly on out-of-domain data. In this work, we study the task of identifying products being bought and sold in online cybercrime forums, which exhibits particularly challenging cross-domain effects. We formulate a task that represents a hybrid of slot-filling information extraction and named entity recognition and annotate data from four different forums. Each of these forums constitutes its own “fine-grained domain” in that the forums cover different market sectors with different properties, even though all forums are in the broad domain of cybercrime. We characterize these domain differences in the context of a learning-based system: supervised models see decreased accuracy when applied to new forums, and standard techniques for semi-supervised learning and domain adaptation have limited effectiveness on this data, which suggests the need to improve these techniques. We release a dataset of 1,938 annotated posts from across the four forums.","2017-09","2026-04-10 09:20:52","2026-04-10 09:20:52","2025-11-25 09:31:04","2598–2607","","","","","","Identifying Products in Online Cybercrime Marketplaces","","","","","Association for Computational Linguistics","Copenhagen, Denmark","","","","","","ACLWeb","","","","","","","","Palmer, Martha; Hwa, Rebecca; Riedel, Sebastian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMNLP 2017","","","","","","","","","","","","","","",""
"JIBN2ES5","webpage","","","2018 Slang Terms and Code Words","","","","","https://www.dea.gov/documents/2018/2018-07/2018-07-01/2018-slang-terms-and-code-words","","","2026-04-10 09:20:52","2026-04-10 09:20:52","2025-11-13 16:02:10","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKNREJG3","conferencePaper","2017","Al Nabki, Mhd Wesam; Fidalgo, Eduardo; Alegre, Enrique; de Paz, Ivan","Classifying Illegal Activities on Tor Network Based on Web Textual Contents","Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics: Volume 1, Long Papers","","","","https://aclanthology.org/E17-1004/","The freedom of the Deep Web offers a safe place where people can express themselves anonymously but they also can conduct illegal activities. In this paper, we present and make publicly available a new dataset for Darknet active domains, which we call “Darknet Usage Text Addresses” (DUTA). We built DUTA by sampling the Tor network during two months and manually labeled each address into 26 classes. Using DUTA, we conducted a comparison between two well-known text representation techniques crossed by three different supervised classifiers to categorize the Tor hidden services. We also fixed the pipeline elements and identified the aspects that have a critical influence on the classification results. We found that the combination of TFIDF words representation with Logistic Regression classifier achieves 96.6% of 10 folds cross-validation accuracy and a macro F1 score of 93.7% when classifying a subset of illegal activities from DUTA. The good performance of the classifier might support potential tools to help the authorities in the detection of these activities.","2017-04","2026-04-10 09:20:52","2026-04-10 09:20:52","2025-11-25 14:12:24","35–43","","","","","","","","","","","Association for Computational Linguistics","Valencia, Spain","","","","","","ACLWeb","","","","","","","","Lapata, Mirella; Blunsom, Phil; Koller, Alexander","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EACL 2017","","","","","","","","","","","","","","",""
"AFHRQCWR","conferencePaper","2021","Bogensperger, Johannes; Schlarb, Sven; Hanbury, Allan; Recski, Gábor","DreamDrug - A crowdsourced NER dataset for detecting drugs in darknet markets","Proceedings of the Seventh Workshop on Noisy User-generated Text (W-NUT 2021)","","","10.18653/v1/2021.wnut-1.17","https://aclanthology.org/2021.wnut-1.17/","We present DreamDrug, a crowdsourced dataset for detecting mentions of drugs in noisy user-generated item listings from darknet markets. Our dataset contains nearly 15,000 manually annotated drug entities in over 3,500 item listings scraped from the darknet market platform “DreamMarket” in 2017. We also train and evaluate baseline models for detecting these entities, using contextual language models fine-tuned in a few-shot setting and on the full dataset, and examine the effect of pretraining on in-domain unannotated corpora.","2021-11","2026-04-10 09:20:52","2026-04-10 09:21:10","2026-04-03 08:17:00","137–157","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","ACLWeb","","","","","","incl","","Xu, Wei; Ritter, Alan; Baldwin, Tim; Rahimi, Afshin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WNUT 2021","","","","","","","","","","","","","","",""
